Title   : Reactor Power Oscillation
Course  : SH2774, Numerical Methods in Nuclear Engineering, KTH
Venue   : Oskarshamn-2
Year    : 1999

  Time       Power
  [s]        [%]
  230.0000   72.7344
  230.1000   72.7031
  230.2000   72.5625
  230.3000   72.2813
  230.4000   71.9219
  230.5000   71.5938
  230.6000   71.1094
  230.7000   70.7344
  230.8000   70.5469
  230.9000   70.4063
  231.0000   70.0938
  231.1000   70.1563
  231.2000   70.2500
  231.3000   70.5625
  231.4000   71.0000
  231.5000   71.6406
  231.6000   72.2344
  231.7000   72.9531
  231.8000   73.7031
  231.9000   74.1719
  232.0000   74.4844
  232.1000   74.5469
  232.2000   74.3438
  232.3000   73.9844
  232.4000   73.5156
  232.5000   72.8906
  232.6000   72.2813
  232.7000   71.5469
  232.8000   70.8906
  232.9000   70.4531
  233.0000   70.0938
  233.1000   70.0000
  233.2000   70.1094
  233.3000   70.6094
  233.4000   71.1250
  233.5000   71.8906
  233.6000   72.7656
  233.7000   73.4844
  233.8000   74.2188
  233.9000   74.8594
  234.0000   75.2500
  234.1000   75.4219
  234.2000   75.3750
  234.3000   74.9219
  234.4000   74.3281
  234.5000   73.2969
  234.6000   72.4688
  234.7000   71.5781
  234.8000   70.7188
  234.9000   70.2188
  235.0000   69.8125
  235.1000   69.7344
  235.2000   70.0000
  235.3000   70.4844
  235.4000   71.3281
  235.5000   72.1719
  235.6000   73.3438
  235.7000   74.7031
  235.8000   75.8906
  235.9000   77.0000
  236.0000   77.8594
  236.1000   78.3281
  236.2000   78.5469
  236.3000   78.0469
  236.4000   77.4531
  236.5000   76.2969
  236.6000   75.0313
  236.7000   73.7188
  236.8000   72.5156
  236.9000   71.3594
  237.0000   70.6094
  237.1000   70.2813
  237.2000   70.4063
  237.3000   71.0000
  237.4000   72.0469
  237.5000   73.4844
  237.6000   75.0625
  237.7000   76.8750
  237.8000   78.6563
  237.9000   80.1094
  238.0000   81.3750
  238.1000   82.0000
  238.2000   82.1563
  238.3000   81.5469
  238.4000   80.4063
  238.5000   78.7344
  238.6000   76.8281
  238.7000   74.7344
  238.8000   72.9063
  238.9000   71.4219
  239.0000   70.3594
  239.1000   69.6719
  239.2000   69.4531
  239.3000   69.9844
  239.4000   70.8750
  239.5000   72.3125
  239.6000   74.2031
  239.7000   76.1406
  239.8000   78.1563
  239.9000   80.0469
  240.0000   81.5625
  240.1000   82.5313
  240.2000   82.9844
  240.3000   82.7344
  240.4000   81.6719
  240.5000   79.9063
  240.6000   77.9531
  240.7000   75.7344
  240.8000   73.4688
  240.9000   71.3594
  241.0000   69.8125
  241.1000   68.7031
  241.2000   68.0781
  241.3000   68.2813
  241.4000   68.9688
  241.5000   70.3281
  241.6000   72.2031
  241.7000   74.6406
  241.8000   77.3906
  241.9000   80.1094
  242.0000   82.8281
  242.1000   84.9219
  242.2000   86.1094
  242.3000   86.1094
  242.4000   85.2500
  242.5000   83.2500
  242.6000   80.6719
  242.7000   77.7813
  242.8000   74.9375
  242.9000   72.3750
  243.0000   70.1719
  243.1000   68.4531
  243.2000   67.4063
  243.3000   67.0000
  243.4000   67.3125
  243.5000   68.4063
  243.6000   70.1563
  243.7000   72.7031
  243.8000   75.8281
  243.9000   79.5938
  244.0000   83.3594
  244.1000   86.9844
  244.2000   89.9219
  244.3000   91.5000
  244.4000   91.2188
  244.5000   89.1719
  244.6000   85.8125
  244.7000   81.8594
  244.8000   77.6875
  244.9000   73.6875
  245.0000   70.1875
  245.1000   67.5625
  245.2000   65.7656
  245.3000   64.6875
  245.4000   64.5313
  245.5000   65.2188
  245.6000   66.8594
  245.7000   69.4063
  245.8000   72.8750
  245.9000   77.1406
  246.0000   82.1250
  246.1000   87.1094
  246.2000   92.0469
  246.3000   95.3594
  246.4000   96.8281
  246.5000   96.0156
  246.6000   93.0000
  246.7000   88.5156
  246.8000   82.9375
  246.9000   77.4219
  247.0000   72.2188
  247.1000   68.3281
  247.2000   65.0781
  247.3000   63.0313
  247.4000   62.1094
  247.5000   62.2188
  247.6000   63.4219
  247.7000   65.7656
  247.8000   69.2813
  247.9000   73.9063
  248.0000   79.9219
  248.1000   87.0625
  248.2000   93.8594
  248.3000  100.4063
  248.4000  104.4219
  248.5000  105.2344
  248.6000  102.3125
  248.7000   96.7500
  248.8000   89.0938
  248.9000   81.5469
  249.0000   74.2656
  249.1000   68.4375
  249.2000   63.7188
  249.3000   60.3906
  249.4000   58.5156
  249.5000   57.8125
  249.6000   58.2500
  249.7000   59.8750
  249.8000   62.8438
  249.9000   67.5313
  250.0000   73.6719
